Field Category/String,Field Title,Admin Roles,Content Roles,End Users,From Mukurtu
"core.base_field_override.node.digital_heritage.title:descriptionA short, descriptive name for the digital heritage item. The title should give users useful information about the item when browsing or searching. Titles do not have to be unique. </br>Maximum 255 characters.","A short, descriptive name for the digital heritage item. The title should give users useful information about the item when browsing or searching. Titles do not have to be unique. </br>Maximum 255 characters.",x,x,,x
core.base_field_override.node.digital_heritage.uid:labelAuthored by,Authored by,x,x,,x
core.base_field_override.node.digital_heritage.uid:descriptionThe username of the content author.,The username of the content author.,x,x,,x
core.base_field_override.node.landing_page.changed:labelChanged,Changed,x,,,x
core.base_field_override.node.landing_page.changed:descriptionThe time that the node was last edited.,The time that the node was last edited.,x,,,x
core.base_field_override.node.landing_page.created:labelAuthored on,Authored on,x,,,x
core.base_field_override.node.landing_page.created:descriptionThe date and time that the content was created.,The date and time that the content was created.,x,,,x
core.base_field_override.node.landing_page.draft:labelDraft,Draft,x,,,x
core.base_field_override.node.landing_page.draft:descriptionMark this item as a draft.,Mark this item as a draft.,x,,,x
core.base_field_override.node.landing_page.draft:settings:on_labelOn,On,x,,,x
core.base_field_override.node.landing_page.draft:settings:off_labelOff,Off,x,,,x
core.base_field_override.node.landing_page.menu_link:labelMenu link,Menu link,x,,,x
core.base_field_override.node.landing_page.menu_link:descriptionComputed menu link for the node (only available during node saving).,Computed menu link for the node (only available during node saving).,x,,,x
core.base_field_override.node.landing_page.path:labelURL alias,URL alias,x,,,x
core.base_field_override.node.landing_page.promote:labelPromoted to front page,Promoted to front page,x,,,x
core.base_field_override.node.landing_page.promote:settings:on_labelOn,On,x,,,x
core.base_field_override.node.landing_page.promote:settings:off_labelOff,Off,x,,,x
core.base_field_override.node.landing_page.status:labelPublished,Published,x,,,x
core.base_field_override.node.landing_page.status:settings:on_labelOn,On,x,,,x
core.base_field_override.node.landing_page.status:settings:off_labelOff,Off,x,,,x
core.base_field_override.node.landing_page.sticky:labelSticky at top of lists,Sticky at top of lists,x,,,x
core.base_field_override.node.landing_page.sticky:settings:on_labelOn,On,x,,,x
core.base_field_override.node.landing_page.sticky:settings:off_labelOff,Off,x,,,x
core.base_field_override.node.landing_page.title:labelTitle,Title,x,,,x
core.base_field_override.node.landing_page.uid:labelAuthored by,Authored by,x,,,x
core.base_field_override.node.landing_page.uid:descriptionThe username of the content author.,The username of the content author.,x,,,x
core.base_field_override.node.page.changed:labelChanged,Changed,x,,,x
core.base_field_override.node.page.changed:descriptionThe time that the node was last edited.,The time that the node was last edited.,x,,,x
core.base_field_override.node.page.created:labelAuthored on,Authored on,x,,,x
core.base_field_override.node.page.created:descriptionThe date and time that the content was created.,The date and time that the content was created.,x,,,x
core.base_field_override.node.page.menu_link:labelMenu link,Menu link,x,,,x
core.base_field_override.node.page.menu_link:descriptionComputed menu link for the node (only available during node saving).,Computed menu link for the node (only available during node saving).,x,,,x
core.base_field_override.node.page.path:labelURL alias,URL alias,x,,,x
core.base_field_override.node.page.promote:labelPromoted to front page,Promoted to front page,x,,,x
core.base_field_override.node.page.promote:settings:on_labelOn,On,x,,,x
core.base_field_override.node.page.promote:settings:off_labelOff,Off,x,,,x
core.base_field_override.node.page.status:labelPublished,Published,x,,,x
core.base_field_override.node.page.status:settings:on_labelOn,On,x,,,x
core.base_field_override.node.page.status:settings:off_labelOff,Off,x,,,x
core.base_field_override.node.page.sticky:labelSticky at top of lists,Sticky at top of lists,x,,,x
core.base_field_override.node.page.sticky:settings:on_labelOn,On,x,,,x
core.base_field_override.node.page.sticky:settings:off_labelOff,Off,x,,,x
core.base_field_override.node.page.title:labelTitle,Title,x,,,x
core.base_field_override.node.page.uid:labelAuthored by,Authored by,x,,,x
core.base_field_override.node.page.uid:descriptionThe username of the content author.,The username of the content author.,x,,,x
core.base_field_override.node.person.field_cultural_protocols:labelCultural Protocols,Cultural Protocols,x,x,x,x
core.base_field_override.node.person.field_keywords:labelKeywords,Keywords,x,x,x,x
"core.base_field_override.node.person.field_keywords:descriptionKeywords are used to tag person records to ensure that they are discoverable when searching or browsing. Examples include significant life events or organizations which the person was involved with. As you type, existing keywords will be displayed. </br>Select an existing keyword or enter a new one. To include additional keywords, select ""Add another item"".","Keywords are used to tag person records to ensure that they are discoverable when searching or browsing. Examples include significant life events or organizations which the person was involved with. As you type, existing keywords will be displayed. </br>Select an existing keyword or enter a new one. To include additional keywords, select ""Add another item"".",x,x,,x
core.base_field_override.node.person.field_media_assets:labelMedia Assets,Media Assets,x,x,,x
"core.base_field_override.node.person.field_media_assets:descriptionMedia assets are a key element of most person records, though they are not required. Supported media types are images, documents, video, audio, and embed code. Person records can include more than one media asset, and each media asset can be a different media type. Media assets can be assigned a different cultural protocol from the person record to allow differential access to the media assets and metadata. </br>Select ""Add media"" to select or upload media assets.","Media assets are a key element of most person records, though they are not required. Supported media types are images, documents, video, audio, and embed code. Person records can include more than one media asset, and each media asset can be a different media type. Media assets can be assigned a different cultural protocol from the person record to allow differential access to the media assets and metadata. </br>Select ""Add media"" to select or upload media assets.",x,x,,x
core.base_field_override.node.person.field_related_content:labelRelated Content,Related Content,x,x,x,x
"core.base_field_override.node.person.field_related_content:descriptionPerson records can be related to any other site content when there is a connection between those items that is important to show. Note that the person record will automatically aggregate all content where the person is referenced based on the representative terms field, and manually managing related content may not be necessary. </br>Select ""Select Content"" to choose from existing site content.","Person records can be related to any other site content when there is a connection between those items that is important to show. Note that the person record will automatically aggregate all content where the person is referenced based on the representative terms field, and manually managing related content may not be necessary. </br>Select ""Select Content"" to choose from existing site content.",x,x,,x
